"","logFC","logCPM","PValue","FDR"
"YDR086C",1.09167582621734,7.39864811510376,7.62096107063136e-44,1.91886070872024e-42
"YHR054C",4.34315130344061,4.70556115666233,1.09763728787332e-43,2.75199992896035e-42
"YNL300W",-1.51082646207987,6.19248299566199,2.08872332751413e-43,5.21475777590765e-42
"YDR335W",0.817829865512564,7.89774444994179,5.05322562825221e-43,1.25629983371295e-41
"YCL064C",-0.677083599458965,8.22005057309041,6.81855557780952e-43,1.68809177212966e-41
"YKL032C",0.762064874881367,8.27227933979708,1.40240825869384e-42,3.45752069445476e-41
"YPR080W",-0.266639823803085,13.2690659923535,1.47159887212221e-42,3.6130500109324e-41
"YLR314C",0.737513635189073,8.18153266146388,1.89544852255134e-42,4.63444996195713e-41
"YDR054C",0.815030633731107,7.87613166829144,2.66370850830906e-42,6.48607540891553e-41
"YLR056W",-0.649036553514069,8.51403810348468,3.42814267572718e-42,8.31324598863841e-41
"YGL123W",-0.275734369231183,11.4298022108513,5.89475924416278e-42,1.42364450806984e-40
"YBR070C",2.01499793393447,5.73373199429198,7.91206534652833e-42,1.9030768559109e-40
"YJL078C",-0.678749232187913,8.17586387865939,1.20475162772045e-41,2.88603861587931e-40
"YOL143C",-0.664706980297997,8.29990532219361,1.75688382092964e-41,4.19172643888736e-40
"YML100W",-0.502308693074547,9.62220859676113,3.0497107799731e-41,7.24704364863486e-40
"YMR031C",0.65009380468276,8.54634187518086,3.78519694503959e-41,8.95880412951969e-40
"YOL039W",0.465731772279905,9.57369283027648,4.56542946558093e-41,1.07624088238416e-39
"YBR054W",-1.86242887959584,5.33497975778442,5.01759780569172e-41,1.17813992921738e-39
"YDL173W",0.853987625374798,7.79578044496974,7.1604787236121e-41,1.67464634812699e-39
"YIR037W",0.937697547128668,7.48837858911205,8.03398041925428e-41,1.8715378795562e-39
"YOL105C",1.31952472924344,6.8705248451141,1.0186257701474e-40,2.3636112478283e-39
"YKL163W",-2.11430380894728,5.04155225099046,1.03583255519503e-40,2.39414891761289e-39
"YOR348C",2.43431344472346,5.32927683526498,1.04265740999904e-40,2.40054626263203e-39
"YDR210C-C",8.90917635211017,5.07501829732214,2.52264168569272e-40,5.78545381947434e-39
"YMR280C",1.49394923627685,6.43689703275128,3.38303528194018e-40,7.72873349932048e-39
"YDL007W",0.60053174430304,8.63974743625341,5.12447039753165e-40,1.16621120546903e-38
"YGL028C",-1.28890081176827,6.26788589126344,7.41892028342819e-40,1.68190618072968e-38
"YJR016C",-0.479384135742049,9.59720389483716,1.12157375192932e-39,2.53295873670449e-38
"YLR150W",-0.275155152301774,10.9041131366373,1.49741823228672e-39,3.36890634237283e-38
"YGL080W",1.49826522950294,6.35244659202228,1.84243440198694e-39,4.12942589263512e-38
"YDR365W-A",8.85951389653102,4.94764128822339,1.93553162754843e-39,4.27333605977764e-38
"YER137C-A",8.85951389653102,4.94764128822339,1.93553162754843e-39,4.27333605977764e-38
"YLR157C-A",8.85951389653102,4.94764128822339,1.93553162754843e-39,4.27333605977764e-38
"YPL257W-A",8.85951389653102,4.94764128822339,1.93553162754843e-39,4.27333605977764e-38
"YDR134C",-0.465704211916372,9.34246968008306,3.04285162946277e-39,6.68906555927657e-38
"YEL002C",0.799410251736931,7.83519719238895,3.05230302687963e-39,6.68906555927657e-38
"YPR148C",0.868526411846406,7.68190674026372,3.06983376089832e-39,6.7026591746256e-38
"YER004W",0.805016924018094,7.92166870001303,4.0937100159699e-39,8.90532432518158e-38
"YLL023C",0.910409925133478,7.51701233470249,4.32322497562932e-39,9.37015464498121e-38
"YPL015C",1.12519035856683,7.08132239562482,4.78312289418304e-39,1.03291015200296e-37
"YGR243W",1.31890601579802,6.80412189119665,5.14927687468299e-39,1.10793713699997e-37
"YOR142W",0.707200051898167,8.14171939784261,6.08850733725005e-39,1.30527890994596e-37
"YGR155W",-0.519279048207714,8.83321312760081,7.6486535115976e-39,1.63382970498639e-37
"YER063W",1.13393859070863,7.11971419905767,8.39523712824156e-39,1.78685676574839e-37
"YOR298C-A",-0.597659260296511,8.41366484207434,9.91085257800417e-39,2.10188224745701e-37
"YOR197W",-0.688394136438733,7.98769212317951,1.30375735973476e-38,2.75511867769663e-37
"YOR063W",-0.184588026332748,12.0733748637551,1.6324526040663e-38,3.43744557233462e-37
"YMR272C",-0.906858598893841,7.21600521025983,1.65641543849978e-38,3.4755355140437e-37
"YOL030W",0.602764127966401,8.53919634568284,2.36777049945195e-38,4.9505646803029e-37
"YER042W",1.60096351085528,6.17110969657405,3.57209894354768e-38,7.44229205949705e-37
"YCR002C",1.06425242679628,7.11404722058629,6.05113472347116e-38,1.25630049679926e-36
"YGR055W",-0.824845976763957,7.63342671491284,6.61206192312848e-38,1.36795700696333e-36
"YER190C-B",1.30270229486811,7.69407362611306,1.77534050316055e-37,3.66017064710835e-36
"YPR028W",0.642138922215001,8.37091524404404,1.82236712243068e-37,3.74407856368831e-36
"YDR089W",-1.72574953240701,5.76212133054046,2.93322797814392e-37,6.00550517186076e-36
"YDR502C",-0.68127039992412,7.99752145630505,4.64014225276301e-37,9.46749024468921e-36
"YBL050W",0.957908604899698,7.29598899564856,5.49364853767295e-37,1.11704186932683e-35
"YOR215C",1.14828583156699,6.88507268936192,8.15029338206402e-37,1.65155088841345e-35
"YHR142W",0.995264960569618,7.18332783642449,8.43456227343194e-37,1.70332098880194e-35
"YNL268W",0.721629574743848,8.06690289219923,9.34409639231827e-37,1.88057885555603e-35
"YLR259C",-0.424168005700724,9.34269436569402,1.12955726053673e-36,2.26562383410028e-35
"YKL100C",0.757640780839997,7.8571914186076,1.16658839242316e-36,2.33199443174588e-35
"YOR356W",1.13491191059373,7.27194387992683,1.28884470137621e-36,2.56770845051954e-35
"YNR034W-A",-1.68470596555417,5.41272660660514,1.3877689153746e-36,2.75551297727232e-35
"YNL284C-A",4.99374510855623,4.9201848503575,1.63829405935893e-36,3.24206887934007e-35
"YER001W",-1.64679618115382,5.90597977099853,3.90614487316302e-36,7.70421973816854e-35
"YLR417W",1.36605211700816,6.53831080879695,4.78488586499356e-36,9.40603643294581e-35
"YER136W",0.634016781140993,8.3094436026941,5.02927080257949e-36,9.85370706584863e-35
"YER124C",-1.43943586741499,6.0654984101102,5.75141991379147e-36,1.12314031781862e-34
"YLR325C",0.433957395682197,9.36782510869793,6.1778846409059e-36,1.20245208619211e-34
"YDR525W-A",1.93912690529696,5.59993837478352,1.02359759910915e-35,1.98577934227176e-34
"YGR130C",0.604996855987037,8.79050858850388,1.54983392019208e-35,2.99685206071128e-34
"YPR159W",0.585682337329952,8.50409088747258,4.00379705067178e-35,7.71676454359117e-34
"YBR056W-A",-1.93014965426274,5.1334177931508,5.10588973496859e-35,9.80894466292504e-34
"YGL036W",0.87777531452415,7.43317427324158,5.43901642107304e-35,1.04151003765337e-33
"YMR195W",-1.14584158548552,6.57734847410196,8.82890633376831e-35,1.68518189602926e-33
"YAR010C",3.89179636771798,5.89294765558718,9.28026098741818e-35,1.75997770072286e-33
"YPR137C-A",3.89179636771798,5.89294765558718,9.28026098741818e-35,1.75997770072286e-33
"YBR230W-A",1.54089239877695,6.24851117972558,9.43049736798366e-35,1.78275568454822e-33
"YGR037C",0.759618404995642,8.06536363388677,1.26194739206056e-34,2.37800723529374e-33
"YGR032W",-0.728449486273238,7.85464459631384,1.95140667572106e-34,3.66554707944176e-33
"YJR029W",-2.76923663394133,9.08998393062621,2.73842018128278e-34,5.12760513058551e-33
"YMR191W",1.49801202567742,6.45395788009343,3.20610001853756e-34,5.98438290526396e-33
"YDL072C",0.62497164781624,8.3194803210804,3.39903950209504e-34,6.32456501065922e-33
